id,category,query,expected_status,target_doc,target_page,top_k,returned_count,precision_at_k,recall_at_k,hit_at_k,mrr_at_k,first_relevant_rank,api_latency_seconds,evaluation_latency_seconds,error,retrieved_chunks_json
safe_01,safe,"By what percentage does cardiac output increase during pregnancy, and when is maximum cardiac output reached?",answered,Physiological Changes In Pregnancy.pdf,1.0,1,1,1.0,1.0,1.0,1.0,1.0,37.60202570000547,37.60253660000308,,"[{""rank"": 1, ""chunk_id"": ""fff58064-4875-4eaa-8c8c-da7614baa555"", ""score"": 0.67412114, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [2, 3], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 1.0, ""text_preview"": ""to become more spherical and giving room for amniotic sac expansion with minimal stretching of the uterus. when fetal growth rate begins to accelerate at 20 weeks, the uterus rapidly elongates, and the walls thin. the longitudinal diameter grows more rapidly than the left-right and anterior-posterio""}]"
safe_02,safe,"How does PaCO2 change by 20 weeks of pregnancy, and what causes this shift?",answered,Physiological Changes In Pregnancy.pdf,2.0,1,1,0.0,0.0,0.0,0.0,,13.459348100004718,13.461651199999324,,"[{""rank"": 1, ""chunk_id"": ""b6e97475-e30c-4e9d-b8ae-535d4ca8f7f6"", ""score"": 0.5868222, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [9, 10], ""sections"": [], ""relevant"": false, ""keyword_coverage"": 0.0, ""text_preview"": ""ining sensitive to providing compassionate care, knowing the physiologic changes of pregnancy are essential when determining whether an apparent pathology is indeed pathological versus a normal finding in a pregnant patient. many lab value limits are adjusted in pregnancy due to the changes in hormo""}]"
safe_03,safe,What weight loss criteria and clinical signs define hyperemesis gravidarum during pregnancy?,answered,Physiological Changes In Pregnancy.pdf,2.0,1,1,1.0,1.0,1.0,1.0,1.0,11.146279300002789,11.147116799998912,,"[{""rank"": 1, ""chunk_id"": ""a997fd58-54db-4d60-8945-5d40b628eb0e"", ""score"": 0.61161244, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [4], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 1.0, ""text_preview"": ""in about 10-20% of pregnant patients. if nausea and vomiting are severe enough to lead to ketosis and weight loss greater than or equal to 5% of pre-pregnancy weight, the term for this is hyperemesis gravidarum. in these patients, intravenous fluid and vitamin substitution may be necessary. elevated""}]"
safe_04,safe,By how much does the glomerular filtration rate (GFR) increase during early pregnancy?,answered,Physiological Changes In Pregnancy.pdf,2.0,1,1,1.0,1.0,1.0,1.0,1.0,6.395650300000852,6.396539200002735,,"[{""rank"": 1, ""chunk_id"": ""5d9115ac-0cb0-4360-9b37-1b3c16e7f6a0"", ""score"": 0.65437543, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [4, 5], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 0.25, ""text_preview"": ""ureteral tone, peristalsis, and contraction pressure, thereby dilating the ureters. the elevation in gfr acts to decrease blood urea nitrogen and creatinine by 25%. the elevated gfr, combined with increased glomerular capillary permeability to albumin, results in an increase of fractional excretion ""}]"
safe_05,safe,"What gestational age ranges define early term, full term, late term, and post-term births?",answered,Physiological Changes In Pregnancy.pdf,1.0,1,1,1.0,1.0,1.0,1.0,1.0,11.325886400001764,11.326912299999094,,"[{""rank"": 1, ""chunk_id"": ""b3b483a2-9b30-4d6c-9bed-e4fdfa595f9d"", ""score"": 0.66579413, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [2], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 0.75, ""text_preview"": ""ly term. those born between 39 0/7 weeks and 40 6/7 weeks are labeled full term. babies born 41 0/7 weeks through 41 6/7 weeks are titled late-term. any baby born at 42 0/7 weeks gestation and beyond is deemed post-term.[3] go to: organ systems involved pregnancy induces a coordinated response of mu""}]"
safe_06,safe,How much does total cortisol level increase by the end of the third trimester compared to non-pregnant women?,answered,Physiological Changes In Pregnancy.pdf,2.0,1,1,1.0,1.0,1.0,1.0,1.0,8.673488799999177,8.67409129999578,,"[{""rank"": 1, ""chunk_id"": ""0052e809-f891-4eb3-b7d1-b13246167705"", ""score"": 0.70760524, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [5], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 1.0, ""text_preview"": ""trimester. despite the changes, pregnancy is considered to be a euthyroid state. during pregnancy, there is an increase in hormone production by the adrenal glands. the reduced vascular resistance and blood pressure stimulate the raa system, resulting in a three-fold increase in aldosterone by the e""}]"
safe_07,safe,What are the daily protein and calcium requirements for a pregnant woman?,answered,Physiological Changes In Pregnancy.pdf,3.0,1,1,1.0,1.0,1.0,1.0,1.0,6.601635899998655,6.604041999999026,,"[{""rank"": 1, ""chunk_id"": ""aa7fa882-52f8-4faa-a34a-dfb8d250746e"", ""score"": 0.60116154, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [6], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 1.0, ""text_preview"": ""with a 50% increase by term. hdl cholesterol increases during the first half of pregnancy and then falls in the third trimester while still staying above non-pregnant levels. the increase in triglycerides is essential for supplying the mother’s energy while sparing glucose for the fetus. the increas""}]"
safe_08,safe,What criteria are required to diagnose preeclampsia with severe features based on blood pressure?,answered,Physiological Changes In Pregnancy.pdf,3.0,1,1,1.0,1.0,1.0,1.0,1.0,8.820092099995236,8.821978399995714,,"[{""rank"": 1, ""chunk_id"": ""7b74cfc2-ca58-4759-843b-98d59e013ce4"", ""score"": 0.71400726, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [8], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 1.0, ""text_preview"": ""preeclampsia without severe features are managed with delivery at 37 weeks. if diagnosed before 37 weeks, they are closely monitored as inpatients, although outpatient monitoring can be utilized if there are no other comorbidities. to be diagnosed as preeclampsia with severe features, blood pressure""}]"
safe_09,safe,At what gestational age and hCG levels can fetal heart motion be visualized on a transvaginal ultrasound?,answered,Physiological Changes In Pregnancy.pdf,3.0,1,1,1.0,1.0,1.0,1.0,1.0,6.476519899995765,6.477174599996943,,"[{""rank"": 1, ""chunk_id"": ""c31e4f1b-3fb3-4bb1-a610-eaa14813c86c"", ""score"": 0.6770333, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [7, 8], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 1.0, ""text_preview"": ""15 weeks.[11] ultrasound confirmation of early pregnancy is utilized when an individual has a positive pregnancy test along with pelvic pain, abdominal pain, or vaginal bleeding.[12] confirmation of a viable pregnancy occurs with an ultrasound, which shows a gestational sac on transvaginal ultrasoun""}]"
safe_10,safe,"What distinguishes placenta accreta, placenta increta, and placenta percreta?",answered,Physiological Changes In Pregnancy.pdf,4.0,1,1,1.0,1.0,1.0,1.0,1.0,10.28876119999768,10.289407700001902,,"[{""rank"": 1, ""chunk_id"": ""0c85a9a8-9110-4e52-ab22-64ebe15503ec"", ""score"": 0.63525164, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [9], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 1.0, ""text_preview"": ""ks, decreased physical activity, and cesarean delivery between 36 and 37 weeks.[16] placenta accreta occurs when the placenta invades into the uterine wall during implantation. if the invasion extends to the myometrium, the term for the condition is placenta increta. if the invasion extends further ""}]"
